Experiment_Rank,EVA_content,Polymer_A,Polymer_B,FR_A,FR_B,FR_C,FR_D,Additive_1,Additive_2,Predicted_LOI,Predicted_Fire_Score,Predicted_UL94,Predicted_Transmittance,Utility_Mean,Utility_STD,Nearest_Experimental_Distance,Safety_Factor,Safety_Adjusted_Score,Performance_Score,Uncertainty_Score,Diversity_Score,Next_Experiment_Score,Selection_Reason
1,46.0,10,15,13.3,9.5,1.1,0.7,3.2,1.2,30.3,0.667,V-1,70.9,0.801,0.07,1.244,0.227,0.467,0.895,0.565,0.0,0.679,High predicted performance
2,56.6,0,15,9.5,10.0,3.7,3.1,1.4,0.7,29.6,0.666,V-1,72.6,0.778,0.056,0.965,0.401,0.481,1.0,0.0,0.667,0.7,High predicted performance
3,53.8,15,5,14.1,7.9,2.8,0.3,0.0,1.1,29.4,0.667,V-1,72.1,0.822,0.069,1.305,0.19,0.41,0.457,0.502,0.932,0.54,Batch diversity
4,58.4,5,10,16.2,4.6,4.6,0.2,0.7,0.3,29.1,0.667,V-1,73.0,0.812,0.071,1.287,0.201,0.407,0.43,0.586,1.0,0.554,Batch diversity
5,52.4,5,10,15.7,8.4,1.7,2.5,2.5,1.8,30.5,0.667,V-1,69.4,0.869,0.081,1.542,0.042,0.381,0.232,1.0,0.734,0.499,Exploration / high model uncertainty
